transaction_amount,night_transaction,multiple_transfers,new_device,international_transaction,risk_level
5000,0,0,0,0,Low
15000,0,0,0,0,Low
250000,1,1,1,1,High
700000,1,1,1,1,High
100000,0,1,0,0,Medium
350000,1,0,1,1,High
45000,0,0,0,0,Low
120000,0,1,0,1,Medium
8000,0,0,0,0,Low
12000,0,0,0,0,Low
18000,0,0,0,0,Low
22000,0,0,0,0,Low
28000,0,0,0,0,Low
32000,0,1,0,0,Medium
40000,0,1,0,0,Medium
52000,0,1,0,1,Medium
65000,0,1,0,1,Medium
85000,0,1,0,1,Medium
95000,1,0,0,0,Medium
110000,1,0,1,0,Medium
130000,1,1,0,1,High
150000,1,1,1,1,High
170000,1,1,1,1,High
190000,1,1,1,1,High
210000,1,1,1,1,High
230000,1,1,1,1,High
260000,1,1,1,1,High
290000,1,1,1,1,High
310000,1,1,1,1,High
340000,1,1,1,1,High
360000,1,1,1,1,High
390000,1,1,1,1,High
420000,1,1,1,1,High
450000,1,1,1,1,High
480000,1,1,1,1,High
510000,1,1,1,1,High
540000,1,1,1,1,High
570000,1,1,1,1,High
600000,1,1,1,1,High
630000,1,1,1,1,High
660000,1,1,1,1,High
690000,1,1,1,1,High
720000,1,1,1,1,High
750000,1,1,1,1,High
780000,1,1,1,1,High
810000,1,1,1,1,High
840000,1,1,1,1,High
870000,1,1,1,1,High
900000,1,1,1,1,High
930000,1,1,1,1,High
960000,1,1,1,1,High
990000,1,1,1,1,High
1020000,1,1,1,1,High
1050000,1,1,1,1,High
1080000,1,1,1,1,High
1110000,1,1,1,1,High
1140000,1,1,1,1,High
1170000,1,1,1,1,High
1200000,1,1,1,1,High
1230000,1,1,1,1,High
1260000,1,1,1,1,High
1290000,1,1,1,1,High
1320000,1,1,1,1,High
1350000,1,1,1,1,High
1380000,1,1,1,1,High
1410000,1,1,1,1,High
1440000,1,1,1,1,High
1470000,1,1,1,1,High
1500000,1,1,1,1,High
1530000,1,1,1,1,High
1560000,1,1,1,1,High
1590000,1,1,1,1,High
1620000,1,1,1,1,High
1650000,1,1,1,1,High
1680000,1,1,1,1,High
1710000,1,1,1,1,High
1740000,1,1,1,1,High
1770000,1,1,1,1,High
1800000,1,1,1,1,High
1830000,1,1,1,1,High
1860000,1,1,1,1,High
1890000,1,1,1,1,High
1920000,1,1,1,1,High
1950000,1,1,1,1,High
1980000,1,1,1,1,High
2010000,1,1,1,1,High
2040000,1,1,1,1,High
2070000,1,1,1,1,High
2100000,1,1,1,1,High
2130000,1,1,1,1,High
2160000,1,1,1,1,High
2190000,1,1,1,1,High
2220000,1,1,1,1,High
2250000,1,1,1,1,High
2280000,1,1,1,1,High
2310000,1,1,1,1,High
2340000,1,1,1,1,High
2370000,1,1,1,1,High
2400000,1,1,1,1,High
2430000,1,1,1,1,High
2460000,1,1,1,1,High
2490000,1,1,1,1,High
2520000,1,1,1,1,High
