amount,transaction_hour,device_change,location_change,transactions_today,anomaly
5000,10,0,0,2,0
7000,14,0,0,3,0
12000,16,0,0,2,0
900000,2,1,1,15,1
750000,1,1,1,12,1
3000,11,0,0,1,0
1000000,3,1,1,18,1
4500,13,0,0,2,0
6000,9,0,0,1,0
8000,15,0,0,2,0
10000,17,0,0,3,0
15000,12,0,0,4,0
18000,18,0,0,5,0
22000,19,0,1,6,0
25000,20,0,1,7,0
28000,21,1,0,8,1
32000,22,1,1,9,1
36000,23,1,1,10,1
40000,0,1,1,11,1
45000,1,1,1,12,1
50000,2,1,1,13,1
55000,3,1,1,14,1
60000,4,1,1,15,1
65000,5,1,1,16,1
70000,6,1,1,17,1
75000,7,1,1,18,1
80000,8,1,1,19,1
85000,9,1,1,20,1
90000,10,1,1,21,1
95000,11,1,1,22,1
100000,12,1,1,23,1
105000,13,1,1,24,1
110000,14,1,1,25,1
115000,15,1,1,26,1
120000,16,1,1,27,1
125000,17,1,1,28,1
130000,18,1,1,29,1
135000,19,1,1,30,1
140000,20,1,1,31,1
145000,21,1,1,32,1
150000,22,1,1,33,1
155000,23,1,1,34,1
160000,0,1,1,35,1
165000,1,1,1,36,1
170000,2,1,1,37,1
175000,3,1,1,38,1
180000,4,1,1,39,1
185000,5,1,1,40,1
190000,6,1,1,41,1
195000,7,1,1,42,1
200000,8,1,1,43,1
205000,9,1,1,44,1
210000,10,1,1,45,1
215000,11,1,1,46,1
220000,12,1,1,47,1
225000,13,1,1,48,1
230000,14,1,1,49,1
235000,15,1,1,50,1
240000,16,1,1,51,1
245000,17,1,1,52,1
250000,18,1,1,53,1
255000,19,1,1,54,1
260000,20,1,1,55,1
265000,21,1,1,56,1
270000,22,1,1,57,1
275000,23,1,1,58,1
280000,0,1,1,59,1
285000,1,1,1,60,1
290000,2,1,1,61,1
295000,3,1,1,62,1
300000,4,1,1,63,1
305000,5,1,1,64,1
310000,6,1,1,65,1
315000,7,1,1,66,1
320000,8,1,1,67,1
325000,9,1,1,68,1
330000,10,1,1,69,1
335000,11,1,1,70,1
340000,12,1,1,71,1
345000,13,1,1,72,1
350000,14,1,1,73,1
355000,15,1,1,74,1
360000,16,1,1,75,1
365000,17,1,1,76,1
370000,18,1,1,77,1
375000,19,1,1,78,1
380000,20,1,1,79,1
385000,21,1,1,80,1
390000,22,1,1,81,1
395000,23,1,1,82,1
400000,0,1,1,83,1
405000,1,1,1,84,1
410000,2,1,1,85,1
415000,3,1,1,86,1
420000,4,1,1,87,1
425000,5,1,1,88,1
430000,6,1,1,89,1
435000,7,1,1,90,1
440000,8,1,1,91,1
445000,9,1,1,92,1
450000,10,1,1,93,1
455000,11,1,1,94,1
460000,12,1,1,95,1
465000,13,1,1,96,1
470000,14,1,1,97,1
475000,15,1,1,98,1
480000,16,1,1,99,1
485000,17,1,1,100,1
