amount,device_change,location_change,transactions_today,fraud
5000,0,0,2,0
15000,0,0,3,0
950000,1,1,15,1
750000,1,0,12,1
10000,0,0,1,0
250000,1,1,10,1
7000,0,0,2,0
12000,0,0,1,0
18000,0,1,4,0
35000,0,0,5,0
45000,1,0,6,1
60000,0,1,7,1
80000,1,1,8,1
95000,1,0,9,1
110000,1,1,10,1
130000,1,1,11,1
150000,1,1,12,1
170000,1,0,13,1
190000,0,1,14,1
210000,1,1,15,1
230000,1,0,16,1
250000,1,1,17,1
270000,0,1,18,1
290000,1,1,19,1
310000,1,1,20,1
330000,1,0,21,1
350000,0,1,22,1
370000,1,1,23,1
390000,1,1,24,1
410000,1,0,25,1
430000,0,1,26,1
450000,1,1,27,1
470000,1,1,28,1
490000,1,0,29,1
510000,0,1,30,1
530000,1,1,31,1
550000,1,1,32,1
570000,1,0,33,1
590000,0,1,34,1
610000,1,1,35,1
630000,1,1,36,1
650000,1,0,37,1
670000,0,1,38,1
690000,1,1,39,1
710000,1,1,40,1
730000,1,0,41,1
750000,0,1,42,1
770000,1,1,43,1
790000,1,1,44,1
810000,1,0,45,1
830000,0,1,46,1
850000,1,1,47,1
870000,1,1,48,1
890000,1,0,49,1
910000,0,1,50,1
930000,1,1,51,1
950000,1,1,52,1
970000,1,0,53,1
990000,0,1,54,1
14000,0,0,2,0
16000,0,0,3,0
22000,0,0,4,0
26000,0,0,5,0
30000,0,0,2,0
34000,0,0,3,0
38000,0,0,4,0
42000,0,0,5,0
46000,0,0,2,0
50000,0,0,3,0
54000,0,0,4,0
58000,0,0,5,0
62000,0,0,2,0
66000,0,0,3,0
70000,0,0,4,0
74000,0,0,5,0
78000,0,0,2,0
82000,0,0,3,0
86000,0,0,4,0
90000,0,0,5,0
94000,0,0,2,0
98000,0,0,3,0
102000,1,0,6,1
106000,0,1,7,1
110000,1,1,8,1
114000,1,0,9,1
118000,0,1,10,1
122000,1,1,11,1
126000,1,0,12,1
130000,0,1,13,1
134000,1,1,14,1
138000,1,0,15,1
142000,0,1,16,1
146000,1,1,17,1
150000,1,0,18,1
154000,0,1,19,1
158000,1,1,20,1
162000,1,0,21,1
166000,0,1,22,1
170000,1,1,23,1
174000,1,0,24,1
178000,0,1,25,1
182000,1,1,26,1
186000,1,0,27,1
190000,0,1,28,1
