amount,network_status,balance,retry_count,failure_reason
5000,1,10000,0,success
15000,0,20000,2,network_timeout
30000,1,1000,1,insufficient_funds
50000,0,70000,3,gateway_failure
10000,1,50000,0,success
45000,1,2000,2,insufficient_funds
70000,0,90000,4,gateway_failure
20000,0,25000,1,network_timeout
8000,1,15000,0,success
25000,1,5000,1,insufficient_funds
90000,0,120000,5,gateway_failure
12000,1,30000,0,success
60000,1,10000,2,insufficient_funds
40000,0,50000,3,network_timeout
150000,0,200000,5,gateway_failure
1000,1,5000,0,success
75000,1,20000,2,insufficient_funds
32000,0,45000,1,network_timeout
85000,0,100000,4,gateway_failure
9000,1,20000,0,success
200000,1,50000,2,insufficient_funds
28000,0,40000,2,network_timeout
99000,0,150000,5,gateway_failure
11000,1,25000,0,success
55000,1,10000,1,insufficient_funds
35000,0,60000,2,network_timeout
175000,0,250000,5,gateway_failure
7000,1,12000,0,success
65000,1,5000,2,insufficient_funds
22000,0,30000,1,network_timeout
125000,0,180000,4,gateway_failure
14000,1,40000,0,success
47000,1,3000,2,insufficient_funds
33000,0,45000,2,network_timeout
98000,0,130000,5,gateway_failure
6000,1,10000,0,success
72000,1,15000,2,insufficient_funds
26000,0,35000,1,network_timeout
142000,0,210000,5,gateway_failure
9500,1,25000,0,success
58000,1,5000,1,insufficient_funds
31000,0,42000,2,network_timeout
88000,0,125000,4,gateway_failure
13000,1,28000,0,success
69000,1,12000,2,insufficient_funds
24000,0,33000,1,network_timeout
135000,0,220000,5,gateway_failure
15000,1,50000,0,success
52000,1,7000,2,insufficient_funds
29000,0,39000,2,network_timeout
91000,0,145000,4,gateway_failure
17000,1,35000,0,success
64000,1,8000,2,insufficient_funds
36000,0,48000,1,network_timeout
160000,0,260000,5,gateway_failure
8500,1,18000,0,success
71000,1,9000,2,insufficient_funds
27000,0,34000,1,network_timeout
101000,0,170000,5,gateway_failure
10500,1,22000,0,success
48000,1,6000,1,insufficient_funds
34000,0,52000,2,network_timeout
115000,0,190000,4,gateway_failure
12500,1,26000,0,success
53000,1,4000,2,insufficient_funds
37000,0,49000,1,network_timeout
145000,0,240000,5,gateway_failure
9500,1,20000,0,success
68000,1,7000,2,insufficient_funds
21000,0,31000,1,network_timeout
99000,0,160000,5,gateway_failure
16000,1,42000,0,success
59000,1,5000,1,insufficient_funds
38000,0,55000,2,network_timeout
130000,0,230000,5,gateway_failure
7500,1,14000,0,success
62000,1,6000,2,insufficient_funds
25000,0,36000,1,network_timeout
108000,0,175000,4,gateway_failure
11500,1,24000,0,success
57000,1,3000,1,insufficient_funds
30000,0,47000,2,network_timeout
120000,0,200000,5,gateway_failure
14500,1,38000,0,success
61000,1,4000,2,insufficient_funds
39000,0,58000,1,network_timeout
155000,0,270000,5,gateway_failure
9800,1,21000,0,success
66000,1,8000,2,insufficient_funds
23000,0,32000,1,network_timeout
112000,0,185000,4,gateway_failure
13500,1,29000,0,success
54000,1,5000,1,insufficient_funds
41000,0,62000,2,network_timeout
118000,0,195000,5,gateway_failure
15500,1,41000,0,success
63000,1,7000,2,insufficient_funds
35000,0,51000,1,network_timeout
125000,0,205000,5,gateway_failure
